seed,gen,best,champChanged,champAge,sigma,baseline
0,0,0.4652,1,0,0.1800,0.4514
0,0,1.0307,1,0,0.1800,0.9444
0,0,1.0271,1,0,0.1800,0.9444
0,0,1.0767,1,0,0.1800,0.9653
0,0,1.0777,1,0,0.1800,0.9583
0,1,0.4728,1,0,0.1798,
0,1,0.9956,0,1,0.1798,
0,1,0.9615,0,1,0.1798,
0,1,1.0005,0,1,0.1798,
0,1,1.0743,0,1,0.1798,
0,2,0.4607,0,1,0.1796,
0,2,0.9512,0,2,0.1796,
0,2,0.9601,0,2,0.1796,
0,2,0.9800,0,2,0.1796,
0,2,1.0455,0,2,0.1796,
0,3,0.5622,1,0,0.1795,
0,3,0.9553,0,3,0.1795,
0,3,0.9782,0,3,0.1795,
0,3,1.0170,0,3,0.1795,
0,3,1.0587,0,3,0.1795,
0,4,0.5442,0,1,0.1793,
0,4,0.9639,0,4,0.1793,
0,4,1.0107,0,4,0.1793,
0,4,1.0015,0,4,0.1793,
0,4,1.0584,0,4,0.1793,
0,5,0.5050,0,2,0.1791,0.5139
0,5,0.9816,0,5,0.1791,0.9583
0,5,1.0165,0,5,0.1791,0.9583
0,5,0.9615,0,5,0.1791,0.9861
0,5,1.0740,0,5,0.1791,0.9861
0,6,0.6019,1,0,0.1789,
0,6,0.9471,0,6,0.1789,
0,6,0.9379,0,6,0.1789,
0,6,0.9794,0,6,0.1789,
0,6,1.0660,0,6,0.1789,
0,7,0.6580,1,0,0.1787,
0,7,0.7744,0,7,0.1787,
0,7,0.9955,0,7,0.1787,
0,7,0.9617,0,7,0.1787,
0,7,1.0578,0,7,0.1787,
0,8,0.5730,0,1,0.1786,
0,8,0.8174,0,8,0.1786,
0,8,1.0431,1,0,0.1786,
0,8,0.9613,0,8,0.1786,
0,8,1.0758,0,8,0.1786,
0,9,0.6367,0,2,0.1784,
0,9,0.8606,0,9,0.1784,
0,9,0.9731,0,1,0.1784,
0,9,0.9782,0,9,0.1784,
0,9,1.0127,0,9,0.1784,
0,10,0.5816,0,3,0.1782,0.7222
0,10,0.8634,0,10,0.1782,0.9792
0,10,1.0053,0,2,0.1782,0.9722
0,10,0.9638,0,10,0.1782,0.9861
0,10,1.0397,0,10,0.1782,0.9722
0,11,0.5770,0,4,0.1780,
0,11,0.8609,0,11,0.1780,
0,11,0.9968,0,3,0.1780,
0,11,0.9801,0,11,0.1780,
0,11,1.0041,0,11,0.1780,
0,12,0.5873,0,5,0.1779,
0,12,0.8604,0,12,0.1779,
0,12,1.0025,0,4,0.1779,
0,12,0.9804,0,12,0.1779,
0,12,1.0510,0,12,0.1779,
0,13,0.4711,0,6,0.1777,
0,13,0.9563,0,13,0.1777,
0,13,1.0363,0,5,0.1777,
0,13,0.9962,0,13,0.1777,
0,13,1.0561,0,13,0.1777,
0,14,0.4953,0,7,0.1775,
0,14,0.9716,0,14,0.1775,
