round,global_gen,gen,seed_id,parent_seed_id,best,baseline,champAge,champChanged,sigma
0,0,0,0,-1,1.0613,0.9583,0,1,0.1800
0,1,1,0,-1,1.0718,,0,1,0.1798
0,2,2,0,-1,1.0183,,1,0,0.1796
0,0,0,1,-1,1.0751,0.9583,0,1,0.1800
0,1,1,1,-1,1.0716,,1,0,0.1798
0,2,2,1,-1,1.0579,,2,0,0.1796
0,0,0,2,-1,1.0776,0.9722,0,1,0.1800
0,1,1,2,-1,1.0740,,1,0,0.1798
0,2,2,2,-1,1.0556,,2,0,0.1796
1,3,0,0,1,1.0760,0.9722,0,1,0.1800
1,4,1,0,1,1.0556,,1,0,0.1798
1,5,2,0,1,1.0409,,2,0,0.1796
1,3,0,1,1,1.0772,0.9583,0,1,0.1800
1,4,1,1,1,1.0737,,1,0,0.1798
1,5,2,1,1,1.0197,,2,0,0.1796
1,3,0,2,0,1.0741,0.9722,0,1,0.1800
1,4,1,2,0,1.0351,,1,0,0.1798
1,5,2,2,0,1.0205,,2,0,0.1796
2,6,0,0,0,1.0781,0.9583,0,1,0.1800
2,7,1,0,0,1.0682,,1,0,0.1798
2,8,2,0,0,1.0579,,2,0,0.1796
2,6,0,1,0,1.0834,0.9306,0,1,0.1800
2,7,1,1,0,1.0742,,1,0,0.1798
2,8,2,1,0,1.0595,,2,0,0.1796
2,6,0,2,1,1.0608,0.9722,0,1,0.1800
2,7,1,2,1,1.0580,,1,0,0.1798
2,8,2,2,1,1.0183,,2,0,0.1796
